title,type,dates
Suki tte Ii na yo,Manga (18 vols),Feb 2008 - Jul 2017
Not Simple,Manga (1 vols),Sep 2004 - Nov 2005
Comic Showa-shi,Manga (8 vols),Nov 1988 - Dec 1989
Mayo Chiki!,Novel (12 vols),Nov 2009 - Jul 2012
Sakurasou no Pet na Kanojo,Manga (8 vols),Feb 2011 - May 2015
Durarara!! Saika-hen,Manga (3 vols),Sep 2011 - Jan 2013
Gate: Jieitai Kanochi nite Kaku Tatakaeri,Manga (? vols),Jul 2011 -
All You Need Is Kill,Manga (2 vols),Jan 2014 - May 2014
Kusuriya no Hitorigoto,Novel (? vols),Aug 2014 -
High School DxD DX,Novel (? vols),Sep 2011 -
No Game No Life: Practical War Game,Novel (1 vols),Dec 2016 - Dec 2016
New Danganronpa V3: Minna no Koroshiai Shingakki Comic Anthology,Manga (? vols),Apr 2017 -
Dokgo Rewind,Manhwa (7 vols),Mar 2014 - Dec 2015
Sewayaki Kitsune no Senko-san,Manga (? vols),Oct 2017 -
W-Juliet,Manga (14 vols),Oct 1997 - Nov 2002
Tenshi Ja Nai!!,Manga (8 vols),-2003
Higurashi no Naku Koro ni: Onisarashi-hen,Manga (2 vols),Mar 2005 - Jul 2006
Devilman,Manga (5 vols),Jun 1972 - Jun 1973
Kattobi Itto,Manga (46 vols),1986 - 1999
Bambino!,Manga (15 vols),Dec 2004 - Feb 2009
Kocchi Muite! Miiko,Manga (? vols),-1995
Familyman,Manhwa (3 vols),Aug 2009 - May 2010
Nanatsu no Taizai,Manga (41 vols),Oct 2012 - Mar 2020
Ajin,Manga (? vols),Mar 2012 -
Murasakiiro no Qualia,Manga (3 vols),Jan 2011 - Aug 2013
Dame na Watashi ni Koishite Kudasai,Manga (10 vols),Apr 2013 - Aug 2016
7th,Novel (? vols),Dec 2015 -
My Home Hero,Manga (? vols),May 2017 -
Hayate no Gotoku!,Manga (52 vols),Oct 2004 - Apr 2017
IS: Otoko demo Onna demo Nai Sei,Manga (17 vols),Jul 2003 - Jul 2009
Kaijuu no Kodomo,Manga (5 vols),Dec 2005 - Sep 2011
Darren Shan,Manga (12 vols),Aug 2006 - Feb 2009
Rozen Maiden (2008),Manga (10 vols),Apr 2008 - Jan 2014
Shin Tekken Chinmi,Manga (20 vols),Dec 1997 - Feb 2005
Slayers,Novel (16 vols),1990 - Oct 2018
Sora Log,Manga (4 vols),Oct 2008 - Feb 2010
Hapi Mari: Happy Marriage!?,Manga (10 vols),Jan 2009 - Jun 2012
Durarara!!,Manga (4 vols),Jun 2009 - Apr 2011
Bonnouji,Manga (3 vols),Apr 2008 - Oct 2012
Another,Novel (2 vols),Oct 2009 - Oct 2009
Omairi desu yo,Manga (? vols),Aug 2011 -
Mahouka Koukou no Rettousei: Tsuioku-hen,Manga (3 vols),Feb 2014 - Jul 2015
Saenai Heroine no Sodatekata: Koisuru Metronome,Manga (10 vols),Aug 2013 - Apr 2018
Narcissu,Novel (1 vols),Jul 2008 - Jul 2008
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,Novel (? vols),Jan 2014 -
The New Gate,Manga (? vols),Nov 2014 -
Imouto sae Ireba Ii,Novel (? vols),Mar 2015 -
Mairimashita Senpai,Manga (? vols),Jun 2016 -
Unlucky Mansion,Manhwa (? vols),May 2016 - Jan 2018
Nande Ikiteru ka Wakaranai Hito Izumi Sumi 25-sai,Manga (2 vols),Apr 2018 - Mar 2019
Shinshi Doumei Cross,Manga (11 vols),Aug 2004 - Jun 2008
ES: Eternal Sabbath,Manga (8 vols),Aug 2001 - Oct 2004
Kodomo no Jikan,Manga (13 vols),May 2005 - Apr 2013
Dogs: Stray Dogs Howling in the Dark,Manga (1 vols),2000 - 2001
Hotel,Manga (1 vols),2006 - 2006
Toshokan Sensou,Novel (4 vols),Feb 2006 - Nov 2007
Saijou no Meii,Manga (11 vols),2008 - 2010
Yongbi Bulpae,Manhwa (23 vols),1998 - 2002
Running on Empty,Manhwa (2 vols),2008 - 2008
Hammer Session!,Manga (11 vols),Nov 2006 - Dec 2008
Decoration Disorder Disconnection,Novel (? vols),Jan 2007 -
Itsuwaribito◆Utsuho◆,Manga (23 vols),Jan 2009 - Sep 2013
Hanazakari no Kimitachi e: After School,Manga (1 vols),Aug 2007 - May 2010
To LOVE-Ru Darkness,Manga (18 vols),Oct 2010 - Mar 2017
Kamisama no Memochou,Novel (9 vols),Jan 2007 - Sep 2014
All Around Type-Moon,Manga (? vols),Apr 2008 -
Oushitsu Kyoushi Heine,Manga (? vols),Nov 2013 -
Ao Haru Ride: Awaken,Manga (? vols),Sep 2014 - Nov 2014
Hataraku Saibou,Manga (? vols),Jan 2015 -
Kimi to Boku no Saigo no Senjou Aruiwa Sekai ga Hajimaru Seisen,Novel (? vols),May 2017 -
NieR:Automata,Novel (2 vols),Aug 2017 - Oct 2017
Jigokuraku,Manga (? vols),Jan 2018 -
Alive: Saishuu Shinkateki Shounen,Manga (21 vols),Apr 2003 - Feb 2010
Clannad,Manga (8 vols),May 2005 - Apr 2009
Zero no Tsukaima,Novel (22 vols),Jun 2004 - Feb 2017
Gekiga Hyouryuu,Manga (2 vols),Nov 2008 - Dec 2008
Darker than Black: Shikkoku no Hana,Manga (4 vols),May 2009 - Jan 2011
1 Litre no Namida,Manga (1 vols),Sep 2005 - Sep 2005
Shinrei Tantei Yakumo,Novel (? vols),Sep 2004 -
Tokyo Ravens,Novel (? vols),May 2010 -
The Children's Teacher Mr Kwon,Manhwa (6 vols),Apr 2012 - Nov 2013
Nejimaki Seirei Senki: Tenkyou no Alderamin,Novel (14 vols),Jun 2012 - Aug 2018
Mahouka Koukou no Rettousei: Kyuukousen-hen,Manga (5 vols),Oct 2013 - May 2016
Gate: Jieitai Kanochi nite Kaku Tatakaeri,Novel (10 vols),Apr 2010 - Dec 2011
Gangsta:Cursed: EP_Marco Adriano,Manga (5 vols),Apr 2014 - Feb 2018
K: Lost Small World,Manga (3 vols),Jun 2014 - Jun 2016
Kakegurui,Manga (? vols),Mar 2014 -
Kono Subarashii Sekai ni Shukufuku wo!,Manga (? vols),Sep 2014 -
Uchi no Ko no Tame naraba Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai,Novel (? vols),Feb 2015 -
Hengoku no Schwester,Manga (6 vols),Dec 2014 - Oct 2017
Goblin Slayer,Manga (? vols),May 2016 -
My Secret Brother,Manhwa (? vols),Aug 2014 -
Kimi no Na wa Another Side: Earthbound,Manga (2 vols),Jul 2017 - Mar 2019
Jiraishin,Manga (19 vols),Sep 1992 - Nov 1999
Chi's Sweet Home,Manga (12 vols),Jan 2004 - Jun 2015
Saiunkoku Monogatari,Manga (9 vols),Jul 2005 - Mar 2012
Tegamibachi,Manga (20 vols),Sep 2006 - Nov 2015
Jormungand,Manga (11 vols),Apr 2006 - Jan 2012
Baki: New Grappler Baki,Manga (31 vols),1999 - 2005
Junjou Mistake,Manga (1 vols),Jul 2008 - Dec 2008
Tsugumomo,Manga (? vols),Nov 2007 -
Densetsu no Yuusha no Densetsu,Novel (11 vols),Feb 2002 - Oct 2006
RRR,Manga (10 vols),Jan 2007 - Aug 2009
Chuunibyou demo Koi ga Shitai!,Novel (4 vols),May 2011 - Dec 2017
Kuroko no Basket: Replace,Novel (6 vols),Mar 2011 - Sep 2015
Kobayashi ga Kawai sugite Tsurai!!,Manga (15 vols),Aug 2012 - Dec 2015
Kamisama no Iutoori 2,Manga (21 vols),Jan 2013 - Dec 2016
Harumatsu Bokura,Manga (14 vols),Feb 2014 - Mar 2020
Konjiki no Word Master: Yuusha Yonin ni Makikomareta Unique Cheat,Novel (? vols),May 2014 -
Fate/stay night: Garden of Avalon,Novel (1 vols),Mar 2015 - Mar 2015
Suijin no Hanayome,Manga (11 vols),Feb 2015 - Sep 2018
The Fable,Manga (? vols),Nov 2014 -
Arifureta Shokugyou de Sekai Saikyou,Novel (? vols),Jun 2015 -
Kyokou Suiri,Manga (? vols),Apr 2015 -
Plastic Memories: Say to Good-bye,Manga (3 vols),Apr 2015 - Jul 2016
Uchi no Ko no Tame naraba Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai,Manga (? vols),Jul 2016 -
Subete no Jinrui wo Hakai suru Sorera wa Saisei Dekinai,Manga (? vols),Nov 2018 -
At the End of the Road,Manhwa (4 vols),Sep 2016 - Jan 2018
Love Hina,Manga (14 vols),Oct 1998 - Oct 2001
Hybrid Child,Manga (1 vols),Jun 2003 - Aug 2004
Beniiro Hero,Manga (20 vols),Dec 2002 - Jan 2011
Akuma de Sourou,Manga (11 vols),Jan 1998 - Dec 2002
Switch,Manga (13 vols),Jan 2002 - Oct 2008
Crayon Shin-chan,Manga (50 vols),Aug 1990 - Mar 2010
Nanairo Sekai,Manga (? vols),Nov 2005 - Feb 2006
Yankee-kun to Megane-chan,Manga (23 vols),Oct 2006 - May 2011
Asterisk,Manga (8 vols),Mar 2006 - Jul 2010
Kiss/Hug,Manga (3 vols),2007 - 2007
Bloody Monday,Manga (11 vols),Mar 2007 - Apr 2009
Franken Fran,Manga (8 vols),Jul 2006 - Jan 2012
Jinjuu Houretsuden,Manga (13 vols),Apr 1997 - Sep 2000
Love in the Mask,Manhwa (32 vols),-
Golden Time,Novel (8 vols),Sep 2010 - Mar 2014
My Heart Is Beating,Manhwa (3 vols),Jun 2009 - Nov 2009
Recipe no Ouji-sama,Manga (1 vols),May 2012 - Mar 2013
Junketsu Drop,Manga (1 vols),Apr 2011 - Aug 2011
Mondaiji-tachi ga Isekai kara Kuru Sou desu yo? Z,Manga (3 vols),Aug 2012 - Oct 2013
Durarara!! Kokinzoku-hen,Manga (3 vols),Apr 2013 - Oct 2014
Kyoukai no Kanata,Novel (? vols),Jun 2012 -
Kotonoha no Niwa,Manga (1 vols),Apr 2013 - Oct 2013
Natsume Yuujinchou,Novel (? vols),Jan 2013 -
Yuugai Toshi,Manga (2 vols),Apr 2014 - Oct 2015
Bungou Stray Dogs Wan!,Manga (? vols),Dec 2015 -
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka? Ex,Novel (1 vols),Feb 2017 - Feb 2017
Quanzhi Gaoshou,Manhua (? vols),Sep 2015 -
Black Cat,Manga (20 vols),Jul 2000 - Jun 2004
Trinity Blood,Manga (21 vols),Aug 2003 - Apr 2018
Goong,Manhwa (27 vols),Dec 2002 - Dec 2011
hack//Another Birth,Novel (4 vols),Feb 2004 - Nov 2005
Rasetsu no Hana,Manga (9 vols),2005 - 2010
Kamen Rider Spirits,Manga (16 vols),Nov 2000 - Jan 2009
Witch Hunter,Manhwa (? vols),-2006
Sono Yubi dake ga Shitteiru,Novel (5 vols),Jul 2001 - Sep 2008
Ikigami,Manga (10 vols),Jan 2005 - Feb 2012
Little Busters!,Manga (? vols),Mar 2008 -
Jin,Manga (20 vols),Apr 2000 - Nov 2010
Fukuyadou Honpo,Manga (11 vols),Nov 1995 - Jul 2000
GE: Good Ending,Manga (16 vols),Aug 2009 - Jan 2013
Doubutsu no Kuni,Manga (14 vols),Sep 2009 - Feb 2014
Gabai: Saga no Gabai Baachan,Manga (11 vols),2005 - Apr 2010
Inari Konkon Koi Iroha,Manga (10 vols),Jul 2010 - Apr 2015
Oomuro-ke,Manga (? vols),Jul 2012 -
"Steins,Gate: Heiji Kyokusen no Epigraph",Novel (1 vols),2012 - 2012
Deadman Wonderland,Novel (2 vols),Apr 2011 - Jul 2011
Kuma Kuma Kuma Bear,Novel (? vols),May 2015 -
Yubisaki to Renren,Manga (? vols),Jul 2019 -
Lucky☆Star,Manga (? vols),Dec 2003 -
Kaze Hikaru,Manga (? vols),-1997
Katsu!,Manga (16 vols),Aug 2001 - Feb 2005
Junjou Minimum,Manga (1 vols),Nov 2004 - Sep 2005
Hanatsukihime,Manga (2 vols),Dec 2007 - Apr 2008
Yume-iro Pâtissière,Manga (12 vols),Sep 2008 - Aug 2013
Savage Garden,Manhwa (7 vols),2008 - May 2011
Arakawa Under the Bridge,Manga (15 vols),Dec 2004 - Jul 2015
Clover,Manga (43 vols),Apr 2007 - Oct 2015
Aitsu no Daihonmei,Manga (? vols),Sep 2006 -
Tobaku Datenroku Kaiji: Kazuya-hen,Manga (10 vols),Jun 2009 - Feb 2012
Opus,Manga (2 vols),Oct 1995 - Jun 1996
Kimi ni Todoke,Novel (? vols),Aug 2007 -
Rockman Gigamix,Manga (3 vols),Nov 2009 - Nov 2010
Kore wa Koi no Hanashi,Manga (11 vols),Jul 2010 - May 2014
Nineteen Twenty-One,Manhwa (2 vols),Aug 2010 - Dec 2010
Lucky Dog 1 Blast,Manga (9 vols),Jun 2011 - Apr 2016
Half & Half,Manga (2 vols),Sep 2012 - May 2015
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai,Novel (2 vols),Mar 2011 - Jul 2011
Eien no 0,Manga (5 vols),Jan 2010 - Feb 2012
New Game!,Manga (? vols),Jan 2013 -
Out,Manga (? vols),Jun 2012 -
Sword Art Online: Mother's Rosario,Manga (3 vols),Jun 2014 - Apr 2016
Fate/strange Fake,Manga (? vols),Jan 2015 -
Omoi Omoware Furi Furare,Manga (12 vols),Jun 2015 - May 2019
Okosama Star,Manga (? vols),Jul 2014 -
Kekkai Sensen: Back 2 Back,Manga (? vols),Jul 2015 -
Clannad: Tomoyo Dearest,Manga (1 vols),Feb 2008 - Aug 2008
Saiunkoku Monogatari,Novel (22 vols),2003 - Jun 2011
Yakusoku Siren,Manga (? vols),Jan 2009 - May 2010
Touhou Kourindou: Curiosities of Lotus Asia,Novel (1 vols),Jan 2004 - Oct 2007
Peak,Manhwa (7 vols),Apr 2011 - Nov 2014
"Steins,Gate: Youen no Valhalla",Novel (1 vols),Aug 2010 - Aug 2010
Danganronpa/Zero,Novel (2 vols),Sep 2011 - Oct 2011
Hellper,Manhwa (18 vols),Oct 2011 - Jun 2015
"Steins,Gate: Mugen Enten no Arc Light",Manga (1 vols),Mar 2014 - Aug 2014
Hinomaruzumou,Manga (28 vols),May 2014 - Jul 2019
Girls & Panzer: Ribbon no Musha,Manga (? vols),Sep 2014 -
The Last: Naruto the Movie,Novel (1 vols),Dec 2014 - Dec 2014
Mahouka Koukou no Rettousei: Raihousha-hen,Manga (7 vols),Dec 2015 - Jun 2019
Poputepipikku,Manga (? vols),Aug 2014 -
Koushaku Reijou no Tashinami,Manga (? vols),Dec 2015 -
Mairimashita! Iruma-kun,Manga (? vols),Mar 2017 -
Ori no Naka no Soloist,Manga (? vols),Sep 2018 -
Ichigo 100%,Manga (19 vols),Feb 2002 - Aug 2005
2001-ya Monogatari,Manga (3 vols),May 1984 - May 1986
Kingdom Hearts II,Manga (10 vols),May 2006 - Aug 2015
Higurashi no Naku Koro ni: Yoigoshi-hen,Manga (2 vols),Jun 2006 - Jul 2007
Black Jack ni Yoroshiku,Manga (13 vols),Jan 2002 - Jan 2006
You're So Cool,Manhwa (6 vols),2002 - 2007
Persona 3,Manga (11 vols),Feb 2007 - Jan 2017
W-Juliet II,Manga (? vols),-2006
Zettai Heiwa Daisakusen,Manga (4 vols),Aug 2007 - Oct 2010
Chrome Shelled Regios,Novel (25 vols),Mar 2006 - Sep 2013
Kieli,Novel (9 vols),Feb 2003 - Apr 2006
Drifters,Manga (? vols),Apr 2009 -
Kindaichi Shounen no Jikenbo - Case Series,Manga (10 vols),Jan 1998 - Dec 2000
Accel World,Novel (? vols),Feb 2009 -
Aoki Hagane no Arpeggio,Manga (? vols),Sep 2009 -
Kasane,Manga (14 vols),Apr 2013 - Aug 2018
Smells Like Green Spirit,Manga (2 vols),Aug 2011 - Feb 2013
Katayoku no Labyrinth,Manga (10 vols),Jan 2014 - Aug 2016
Rokudenashi Majutsu Koushi to Akashic Records,Novel (? vols),Jul 2014 -
Kakegurui Twin,Manga (? vols),Sep 2015 -
Like a Butterfly,Manhwa (5 vols),Jul 2016 - Oct 2017
Oniichan wa Oshimai!,Manga (? vols),Jun 2018 -
Tobaku Datenroku Kaiji: 24-oku Dasshutsu-hen,Manga (? vols),Aug 2017 -
Shaman King,Manga (32 vols),Jun 1998 - Aug 2004
Air Gear,Manga (37 vols),Nov 2002 - May 2012
Chobits,Manga (8 vols),Sep 2000 - Oct 2002
Junai Tokkou Taichou!,Manga (13 vols),Sep 2004 - Jul 2009
Threads of Time,Manhwa (11 vols),Dec 1999 - Sep 2003
Midori no Hibi,Manga (8 vols),Sep 2002 - Jul 2004
Mirai Nikki,Manga (12 vols),Jan 2006 - Dec 2010
Bitter Virgin,Manga (4 vols),Feb 2005 - Mar 2008
Kirihito Sanka,Manga (2 vols),Mar 1970 - Dec 1971
Shinobi Life,Manga (13 vols),Feb 2006 - Apr 2012
Joou no Hana,Manga (15 vols),Oct 2007 - Dec 2016
Orange Yane no Chiisana Ie,Manga (8 vols),Mar 2005 - Dec 2007
Heart no Kuni no Alice: Wonderful Wonder World,Manga (6 vols),2008 - Sep 2010
March Story,Manga (5 vols),Dec 2007 - Jan 2013
Medaka Box,Manga (22 vols),May 2009 - Apr 2013
Saiyuuki Ibun,Manga (? vols),Sep 2009 -
Rockman Megamix,Manga (3 vols),-1997
Ouroboros: Keisatsu wo Sabaku wa Ware ni Ari,Manga (24 vols),Mar 2009 - Dec 2016
Gunka no Baltzar,Manga (? vols),Jan 2011 -
Puchimas!: Petit iDOLM@STER,Manga (? vols),Jul 2008 -
Oda Nobuna no Yabou,Novel (? vols),Aug 2009 -
Owari no Chronicle,Novel (14 vols),Jun 2003 - Dec 2005
Owari no Seraph,Manga (? vols),Sep 2012 -
My Beautiful World,Manhwa (3 vols),Nov 2013 - Jul 2015
Yamada to Shounen,Manga (1 vols),Dec 2013 - Apr 2015
Melancholia,Manga (2 vols),Jan 2017 - Jan 2019
Kimi wa Natsu no Naka,Manga (1 vols),Jul 2016 - May 2017
Sasayaku You ni Koi wo Utau,Manga (? vols),Feb 2019 -
A Good Day to Be a Dog,Manhwa (9 vols),Aug 2017 - May 2019
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,Manga (? vols),Oct 2018 -
Kamikaze Kaitou Jeanne,Manga (7 vols),Dec 1997 - Jun 2000
The Tarot Café,Manhwa (7 vols),-2002
Full Metal Panic!,Manga (9 vols),Jan 2000 - Mar 2005
Kurosagi Shitai Takuhaibin,Manga (? vols),-2000
MAX Lovely!,Manga (5 vols),-
Subarashii Sekai,Manga (2 vols),Jan 2002 - Mar 2004
Touhou Bougetsushou: Cage in Lunatic Runagate,Novel (1 vols),Jun 2007 - Jun 2009
Nana to Kaoru,Manga (18 vols),Jan 2008 - Aug 2016
Clannad: Hikaru Mimamoru Sakamichi de,Manga (2 vols),Jul 2007 - Aug 2008
Absolute Witch,Manhwa (12 vols),2006 - 2010
Koukaku Kidoutai: Stand Alone Complex,Novel (3 vols),May 2006 - Jan 2007
Warau Kanoko-sama,Manga (3 vols),Jul 2007 - Jun 2009
Flat,Manga (8 vols),Nov 2007 - Dec 2013
Suki desu Suzuki-kun!!,Manga (18 vols),Aug 2008 - Jun 2012
Amanchu!,Manga (? vols),Nov 2008 -
Yumekui Merry,Manga (? vols),Mar 2008 -
Seishun Kouryakuhon,Manga (2 vols),Jan 2009 - May 2010
Toaru Hikuushi e no Tsuioku,Novel (1 vols),Feb 2008 - Feb 2008
Ookami-heika no Hanayome,Manga (19 vols),Feb 2009 - Oct 2018
Machine-Doll wa Kizutsukanai,Novel (17 vols),Nov 2009 - Jul 2017
Mahouka Koukou no Rettousei: Nyuugaku-hen,Manga (4 vols),Dec 2011 - Sep 2013
Yozora no Sumikko de,Manga (1 vols),Oct 2011 - Mar 2013
Black Bullet,Novel (7 vols),Jul 2011 - Apr 2014
Flying Witch,Manga (? vols),Aug 2012 -
World Trigger,Manga (? vols),Feb 2013 -
Bambi to Dhole,Manga (5 vols),Jun 2013 - Jun 2015
Tabi ni Deyou Horobiyuku Sekai no Hate made,Novel (1 vols),Mar 2008 - Mar 2008
Last Embryo,Novel (? vols),Jun 2015 -
Owari no Seraph: Kyuuketsuki Mikaela no Monogatari,Novel (? vols),Dec 2015 -
Zelda no Densetsu: Twilight Princess,Manga (? vols),Feb 2016 -
Plastic Memories: Heartfelt Thanks,Novel (1 vols),Sep 2016 - Sep 2016
Nanatsu no Taizai: Seven Days - Touzoku to Seishoujo,Manga (2 vols),Jan 2017 - Aug 2017
Bungou Stray Dogs: Dead Apple,Manga (? vols),Mar 2018 -
Yuusha Goikkou no Kaerimichi,One-shot (? vols),Aug 2018 - Aug 2018
Yureka,Manhwa (41 vols),2000 - 2013
InuYasha,Manga (56 vols),Nov 1996 - Jun 2008
Trigun,Manga (3 vols),Apr 1995 - Jan 1997
Koukyoushihen Eureka seveN,Manga (6 vols),Jan 2005 - Nov 2006
Terra e,Manga (5 vols),Dec 1976 - Apr 1980
Orpheus no Mado,Manga (18 vols),Jan 1975 - Jul 1981
Ryuurouden,Manga (37 vols),1988 - 2007
Deep Love: Reina no Unmei,Manga (1 vols),Jul 2005 - Nov 2005
QED: Shoumei Shuuryou,Manga (50 vols),Jun 1997 - Feb 2015
Maria-sama ga Miteru,Novel (37 vols),Apr 1998 - Apr 2012
Shimotsuma Monogatari,Novel (1 vols),-
The Flowers of Evil,Manhwa (7 vols),2006 - 2008
FLCL,Novel (3 vols),Jun 2000 - Mar 2001
Hakushaku to Yousei,Novel (33 vols),Mar 2004 - Dec 2013
Genkaku Picasso,Manga (3 vols),Sep 2008 - Apr 2010
Monokuro Shounen Shoujo,Manga (12 vols),Aug 2008 - Nov 2012
Shinryaku! Ika Musume,Manga (22 vols),Jul 2007 - Feb 2016
Sidonia no Kishi,Manga (15 vols),Apr 2009 - Sep 2015
Azumanga Daioh: Hoshuu-hen,Manga (? vols),May 2009 - Jul 2009
Kenji,Manga (21 vols),Dec 1987 - Jan 1992
Makai Ouji: Devils and Realist,Manga (15 vols),Oct 2009 - Feb 2018
Kabe no Naka no Tenshi,Manga (1 vols),Oct 2009 - Jun 2010
Yukarism,Manga (4 vols),Oct 2010 - Mar 2014
Nickelodeon,Manga (3 vols),Sep 2010 - Aug 2014
Sakamoto desu ga?,Manga (4 vols),Aug 2011 - Dec 2015
Darwin's Game,Manga (? vols),Dec 2012 -
ReRe Hello,Manga (11 vols),Mar 2013 - Sep 2016
Washio Sumi wa Yuusha de Aru,Novel (1 vols),Apr 2014 - Nov 2014
Buddy Go!,Manga (? vols),Sep 2014 -
Dame na Watashi ni Koishite Kudasai Returns,Manga (6 vols),Oct 2016 - Oct 2018
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka: Familiar Chronicle - Episode Ryu,Novel (1 vols),Mar 2017 - Mar 2017
Reigen: Reikyuuchi Max 131 no Otoko,Manga (1 vols),Mar 2018 - Feb 2019
Rozen Maiden,Manga (8 vols),Aug 2002 - May 2007
I Wish,Manhwa (7 vols),-2000
Karin,Manga (14 vols),Apr 2003 - Feb 2008
Little Busters! The 4-koma,Manga (4 vols),Jan 2006 - Jan 2010
Superior,Manga (9 vols),Jun 2004 - Feb 2009
Tantei Gakuen Q,Manga (22 vols),May 2001 - Jul 2005
Ciel,Manhwa (23 vols),2005 - 2013
Tales of Symphonia: Extra Load,Manga (1 vols),Jul 2005 - May 2007
Persona 4,Manga (13 vols),Sep 2008 - Mar 2019
Shuukatsu!! - Kimi ni Naitei,Manga (2 vols),2008 - 2008
Thermae Romae,Manga (6 vols),Jan 2008 - Mar 2013
Mayo Chiki!,Manga (7 vols),Jul 2010 - Nov 2013
Kingdom Hearts,Novel (2 vols),Jun 2005 - Jul 2005
Trinity Seven: 7-nin no Mashotsukai,Manga (? vols),Dec 2010 -
Sayonara Piano Sonata,Novel (4 vols),Nov 2007 - Dec 2008
Gokusen Kanketsu-hen,Manga (1 vols),Dec 2007 - Aug 2009
Kono Bijutsubu ni wa Mondai ga Aru!,Manga (? vols),Oct 2012 -
"Gekijouban Steins,Gate: Fuka Ryouiki no Déjà vu",Manga (2 vols),Mar 2013 - Oct 2013
Only Sense Online,Novel (? vols),Apr 2014 -
Murasakiiro no Qualia,Novel (1 vols),Jul 2009 - Jul 2009
Ayakashi Ko,Manga (? vols),Mar 2015 -
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Dai 1-bu - Hon ga Nai nara Tsukureba Ii!,Manga (7 vols),Oct 2015 - Jul 2018
Bleach: Can't Fear Your Own World,Novel (3 vols),Aug 2017 - Dec 2018
Citrus+,Manga (? vols),Dec 2018 -
Unbalance x2,Manhwa (10 vols),May 2005 - Nov 2011
Café Latte Rhapsody,Manga (1 vols),Jul 2008 - Jul 2008
Sangokushi,Manga (60 vols),1971 - 1986
Break Blade,Manga (? vols),Sep 2006 -
Karakuri Odette,Manga (6 vols),Sep 2005 - Dec 2007
Vampire Knight: Ice Blue no Tsumi,Novel (1 vols),Apr 2008 - Apr 2008
Densha Otoko,Novel (1 vols),Oct 2004 - Oct 2004
Maou: Juvenile Remix,Manga (10 vols),Jun 2007 - Jun 2009
Hidan no Aria,Novel (? vols),Aug 2008 -
K-On!,Manga (4 vols),Apr 2007 - Sep 2010
Prunus Girl,Manga (6 vols),Apr 2009 - May 2013
I Am a Hero,Manga (22 vols),Apr 2009 - Feb 2017
Sekai no Owari to Yoakemae,Manga (1 vols),Jun 2005 - Sep 2008
Hiyokoi,Manga (14 vols),Nov 2009 - Nov 2014
Planetarian: Chiisana Hoshi no Yume,Novel (1 vols),- Apr 2006
Tonari no Seki-kun,Manga (? vols),Jul 2010 -
Nobunaga no Chef,Manga (? vols),Mar 2011 -
"Steins,Gate: Heiji Kyokusen no Epigraph",Manga (2 vols),2013 - 2014
Diamond Dust,Manhwa (3 vols),Apr 2012 - Feb 2013
Haken no Kouki Altina,Novel (? vols),Oct 2012 -
Sabaku no Harem,Manga (? vols),Feb 2014 -
Durarara!! SH,Novel (? vols),Apr 2014 -
Distant Sky,Manhwa (? vols),Jan 2014 -
Chio-chan no Tsuugakuro,Manga (9 vols),Apr 2014 - Sep 2018
Yagiza no Yuujin,Manga (1 vols),Oct 2014 - Apr 2015
Gekijouban Gintama: Kanketsu-hen - Yorozuya yo Eien Nare,Novel (1 vols),Jul 2013 - Jul 2013
Ani no Yome to Kurashiteimasu,Manga (? vols),Dec 2015 -
Salty Studio,Manhwa (4 vols),Oct 2013 - Mar 2015
Kono Subarashii Sekai ni Bakuen wo!,Manga (5 vols),Apr 2016 - Dec 2017
Watashi Nouryoku wa Heikinchi de tte Itta yo ne!,Novel (? vols),May 2016 -
Infinite Dendrogram,Novel (? vols),Nov 2016 -
Yondome wa Iya na Shizokusei Majutsushi,Novel (? vols),Dec 2016 -
Eiga Koe no Katachi Special Book,Manga (1 vols),Sep 2016 - Sep 2016
Ride-On King,Manga (? vols),May 2018 -
Peace Maker Kurogane,Manga (? vols),Oct 2002 -
Tajuu Jinkaku Tantei Psycho,Manga (24 vols),Dec 1996 - Mar 2016
Rockin'★Heaven,Manga (8 vols),Dec 2005 - Jul 2008
Tekken Chinmi,Manga (35 vols),Apr 1984 - Apr 1997
Aoi Hana,Manga (8 vols),Nov 2004 - Jul 2013
Magic Kaito,Manga (? vols),-1987
Ai Hime: Ai to Himegoto,Manga (3 vols),Mar 2006 - Apr 2007
Haruyuki Bus,Manga (4 vols),Dec 2005 - Apr 2007
The Legend of Maian,Manhwa (14 vols),2007 - 2012
Crazy Girl Shin Bia-Ah,Manhwa (19 vols),Mar 2008 - May 2008
Superior Cross,Manga (6 vols),Apr 2009 - Jul 2011
Zekkyou Gakkyuu,Manga (20 vols),Sep 2008 - Feb 2015
Piece,Manga (10 vols),Apr 2008 - Apr 2013
Higurashi no Naku Koro ni Rei: Saikoroshi-hen,Manga (1 vols),Jun 2011 - Nov 2011
