title,type,dates
Saint Seiya: The Lost Canvas - Meiou Shinwa,Manga (25 vols),Sep 2006 - Apr 2011
Akagami no Shirayuki-hime,Manga (? vols),Aug 2006 -
Kuragehime,Manga (17 vols),Oct 2008 - Aug 2017
High School DxD,Novel (25 vols),Sep 2008 - Mar 2018
Hirunaka no Ryuusei,Manga (12 vols),May 2011 - Nov 2014
Naruto Shinden Series,Novel (3 vols),Sep 2015 - Nov 2015
Innocent Rouge,Manga (12 vols),May 2015 - Jan 2020
Taishou Otome Otogibanashi,Manga (5 vols),Jul 2015 - Sep 2017
DGray-man,Manga (? vols),May 2004 -
Ghost Hunt,Manga (12 vols),Dec 1997 - Sep 2010
Let Dai,Manhwa (15 vols),1995 - 2005
Ran to Haiiro no Sekai,Manga (7 vols),Dec 2008 - Apr 2015
Feng Shen Ji,Manhua (? vols),2010 - 2011
Kengan Ashura,Manga (27 vols),Apr 2012 - Aug 2018
Doupo Cangqiong,Manhua (? vols),Jun 2012 -
Koimonogatari,Manga (? vols),May 2013 -
Genshiken,Manga (21 vols),Apr 2002 - Aug 2016
Saiyuuki Reload,Manga (10 vols),Mar 2002 - Jun 2009
Kimi ni Todoke,Manga (30 vols),Aug 2005 - Nov 2017
Sora no Otoshimono,Manga (20 vols),Mar 2007 - Feb 2014
Takemitsuzamurai,Manga (8 vols),Aug 2006 - Mar 2010
Danshi Koukousei no Nichijou,Manga (7 vols),May 2009 - Sep 2012
No6 Beyond,Novel (1 vols),Nov 2012 - Nov 2012
About Death,Manhwa (2 vols),Sep 2012 - Feb 2013
Tobaku Datenroku Kaiji: One Poker-hen,Manga (16 vols),Jun 2013 - Aug 2017
Bungou Stray Dogs,Novel (? vols),Apr 2014 -
Winter Woods,Manhwa (7 vols),Jul 2014 - Jan 2017
Boogiepop Series,Novel (? vols),Feb 1998 -
Koori no Mamono no Monogatari,Manga (24 vols),Aug 1995 - Jun 2003
The One,Manhua (18 vols),Jan 2005 - Feb 2014
Solanin,Manga (2 vols),Jun 2005 - Apr 2006
Last Game,Manga (11 vols),Aug 2011 - Jun 2016
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Novel (? vols),Jan 2013 -
Tokyo Ghoul:re,Manga (16 vols),Oct 2014 - Jul 2018
Gokushufudou,Manga (? vols),Feb 2018 -
Paradise Kiss,Manga (5 vols),Mar 1999 - Mar 2003
Black Lagoon,Manga (? vols),Apr 2002 -
Detective Conan,Manga (? vols),Feb 1994 -
JoJo no Kimyou na Bouken Part 2: Sentou Chuuryuu,Manga (7 vols),Oct 1987 - Mar 1989
Hikari to Tomo ni: Jiheishouji wo Kakaete,Manga (15 vols),Sep 2000 - Apr 2009
Higurashi no Naku Koro ni Kai: Matsuribayashi-hen,Manga (8 vols),Jun 2008 - Apr 2011
Keishichou Tokuhanka 007,Manga (11 vols),Oct 2006 - Mar 2012
Nukozuke!,Manga (? vols),Apr 2012 -
Wotaku ni Koi wa Muzukashii,Manga (? vols),Apr 2014 -
Meteor Methuselah,Manga (11 vols),Aug 1998 - May 2011
Ookiku Furikabutte,Manga (? vols),Sep 2004 -
Higurashi no Naku Koro ni: Watanagashi-hen,Manga (2 vols),Apr 2005 - Mar 2006
Seven Days,Manga (2 vols),Sep 2007 - Jun 2009
Doukyuusei,Manga (1 vols),Jul 2006 - Jul 2007
Touhou Shinigami: Meteor Methuselah Gaiden,Manga (1 vols),Oct 2004 - Jun 2007
Yuru Yuri,Manga (? vols),Jun 2008 -
GTO: Shonan 14 Days,Manga (9 vols),Jun 2009 - Nov 2011
Tasogare Otome x Amnesia,Manga (10 vols),Apr 2008 - Sep 2013
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai,Manga (3 vols),Apr 2012 - Apr 2013
Mushishi Tokubetsu-hen: Hihamukage,Manga (1 vols),Nov 2013 - Dec 2013
Yuru Camp△,Manga (? vols),May 2015 -
Koko wa Ima kara Rinri desu,Manga (? vols),Oct 2016 -
Tonari no Kaibutsu-kun,Manga (13 vols),Aug 2008 - Nov 2013
Fukigen na Mononokean,Manga (? vols),Sep 2013 -
Fate/strange Fake,Novel (? vols),Jan 2015 -
Homunculus,Manga (15 vols),Mar 2003 - Feb 2011
Akumetsu,Manga (18 vols),Oct 2002 - Apr 2006
Historie,Manga (? vols),Jan 2003 -
Ten: Tenhou-doori no Kaidanji,Manga (18 vols),Aug 1989 - Apr 2002
Toaru Majutsu no Index Gaiden: Toaru Kagaku no Railgun,Manga (? vols),Feb 2007 -
Major,Manga (78 vols),Jul 1994 - Jul 2010
Katanagatari,Novel (12 vols),Jan 2007 - Dec 2007
Binbougami ga!,Manga (16 vols),Jun 2008 - Jul 2013
Ao Haru Ride,Manga (13 vols),Jan 2011 - Feb 2015
Cheese in the Trap Season 1,Manhwa (6 vols),Jul 2010 - May 2011
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,Novel (? vols),Jan 2015 -
Emma,Manga (10 vols),Dec 2001 - Feb 2008
Vagrant Soldier Ares,Manhwa (26 vols),2001 - 2007
Shiawase Kissa 3-choume,Manga (15 vols),Dec 2004 - Aug 2009
Higurashi no Naku Koro ni: Onikakushi-hen,Manga (2 vols),Mar 2005 - Mar 2006
Kimi to Boku,Manga (? vols),Feb 2003 -
Kuroko no Basket,Manga (30 vols),Dec 2008 - Sep 2014
Umineko no Naku Koro ni - Episode 4: Alliance of the Golden Witch,Manga (6 vols),Oct 2009 - Feb 2012
Donten ni Warau,Manga (6 vols),Oct 2010 - May 2013
